Project,TransactionPrice,Area,SaleDate,SaleType,PropertyType,Tenure,CompletionDate,NumberofUnits,PurchaserType,PostalCode,Floor,MaxFloor
PARC RIVIERA,0,710.42,2017-03-20,New Sale,Condominium,99 yrs from 11/11/2015,Uncompleted,1,Private,126754,4,36
WATERBANK AT DAKOTA,0,624.31,2012-11-05,Sub Sale,Condominium,99 yrs from 07/12/2009,Uncompleted,1,HDB,399947,5,20
N.A.,0,1119.46,1997-10-21,New Sale,Apartment,Freehold,1997,1,HDB,219860,2,23
VACANZA @ EAST,0,1119.46,2011-02-01,New Sale,Condominium,Freehold,Uncompleted,1,Private,417392,1,12
OLEANDER TOWERS,0,1463.9,1995-12-30,New Sale,Apartment,99 yrs from 01/03/1995,1997,1,Private,319771,23,25
LEICESTER SUITES,0,462.85,2020-10-05,Resale,Apartment,Freehold,2013,1,Private,358844,12,14
LEVENUE,0,570.49,2012-04-09,New Sale,Apartment,Freehold,Uncompleted,1,Private,417642,3,12
GUILLEMARD SUITES,0,452.09,2014-01-28,New Sale,Apartment,Freehold,Uncompleted,1,HDB,399733,4,5
SUNSHINE PLAZA,0,764.24,2018-07-06,Resale,Apartment,99 yrs from 19/03/1997,2001,1,Private,187948,6,12
JADESCAPE,0,764.24,2019-03-21,New Sale,Condominium,99 yrs from 19/06/2018,Uncompleted,1,Private,575744,2,23
DUO RESIDENCES,0,936.47,2013-12-27,New Sale,Apartment,99 yrs from 01/07/2011,Uncompleted,1,Private,189350,17,49
THE CREST,0,1571.54,2018-03-15,Resale,Condominium,99 yrs from 21/12/2012,2017,1,HDB,159017,4,23
THOMSON 800,0,1431.61,1999-04-28,New Sale,Condominium,Freehold,1999,1,Private,298190,7,20
LIV ON SOPHIA,0,538.2,2013-06-26,New Sale,Apartment,Freehold,Uncompleted,1,Private,229977,4,6
THE ANCHORAGE,0,1657.66,2000-08-01,Resale,Condominium,Freehold,1997,1,Private,159957,2,19
AVON PARK,0,1689.95,2000-05-01,Resale,Condominium,Freehold,1991,1,HDB,357741,8,13
AMANINDA,0,1248.62,2004-05-14,New Sale,Condominium,Freehold,2005,1,HDB,307687,5,6
D'LEEDON,0,1151.75,2019-07-24,Resale,Condominium,99 yrs from 08/04/2010,2014,1,Private,266224,8,35
CENTRAL GREEN CONDOMINIUM,0,1808.35,2007-01-17,Resale,Condominium,99 yrs from 01/07/1992,1995,1,Private,169479,22,23
THE TRIZON,0,1894.46,2018-05-11,Resale,Condominium,Freehold,2012,1,Private,276693,7,23
THE CENTREN,0,548.96,2013-12-09,New Sale,Apartment,Freehold,Uncompleted,1,HDB,388153,3,8
THE LAKESHORE,0,1184.04,2009-06-22,Resale,Condominium,99 yrs from 22/11/2002,2008,1,Private,649411,15,17
KENTISH GREEN,0,1323.97,1996-05-09,New Sale,Apartment,99 yrs from 01/03/1995,1999,1,Private,218815,5,6
GEM RESIDENCES,0,936.47,2018-01-26,New Sale,Condominium,99 yrs from 21/09/2015,Uncompleted,1,HDB,319458,1,38
EDEN RESIDENCES CAPITOL,0,3056.98,2020-12-09,Resale,Apartment,99 yrs from 24/01/2011,2016,1,Private,178884,9,10
STURDEE RESIDENCES,0,419.8,2016-04-23,New Sale,Condominium,99 yrs from 29/06/2015,Uncompleted,1,HDB,209955,6,30
AXIS @ SIGLAP,0,818.06,2007-02-16,New Sale,Apartment,Freehold,Uncompleted,1,HDB,458950,2,5
ORANGE GROVE RESIDENCES,0,2378.84,2007-02-15,New Sale,Condominium,Freehold,Uncompleted,1,Private,258357,1,5
ZEDGE,0,495.14,2011-06-17,Sub Sale,Apartment,Freehold,2010,1,Private,309973,5,20
TANGLIN VIEW,0,1140.98,2009-08-19,Resale,Condominium,99 yrs from 17/05/1997,2001,1,Private,159013,2,20
GRANGE RESIDENCES,0,2852.46,2004-01-30,New Sale,Condominium,Freehold,2004,1,Private,249614,12,18
STRATA,0,1065.64,2003-08-19,New Sale,Apartment,Freehold,Uncompleted,1,Private,309329,17,31
SOUTH BEACH RESIDENCES,0,2098.98,2018-11-27,Resale,Apartment,99 yrs from 10/12/2007,2016,1,Private,189762,33,45
LINCOLN SUITES,0,473.62,2013-11-13,New Sale,Condominium,Freehold,Uncompleted,1,Private,308381,23,29
CITYLIGHTS,0,678.13,2007-08-07,Sub Sale,Condominium,99 yrs from 05/01/2004,Uncompleted,1,Private,208747,33,41
PEPYS HILL CONDOMINIUM,0,2572.6,2003-05-09,Resale,Condominium,Freehold,1988,1,Private,118450,4,11
STIRLING RESIDENCES,0,688.9,2018-12-19,New Sale,Apartment,99 yrs from 18/08/2017,Uncompleted,1,Private,148962,26,40
TANGLIN PARK,0,2066.69,1995-05-01,Resale,Condominium,Freehold,1988,1,Private,248476,2,8
REGENCY PARK,0,3649.0,1999-06-01,Resale,Condominium,Freehold,1990,1,Private,248730,7,25
NATHAN RESIDENCES,0,785.77,2009-06-18,New Sale,Apartment,Freehold,Uncompleted,1,HDB,248745,7,12
MACKENZIE MANSIONS,0,1151.75,1997-08-08,Sub Sale,Apartment,Freehold,1997,1,Private,228714,2,4
LE SOMME,0,495.14,2016-08-15,Resale,Apartment,Freehold,2014,1,HDB,207876,4,6
BELMOND GREEN,0,1280.92,2006-05-30,Resale,Condominium,Freehold,2004,1,Private,259819,6,12
QUEENS,0,1194.8,2002-03-08,New Sale,Condominium,99 yrs from 16/02/1998,2002,1,Private,148954,6,38
THOMSON THREE,0,710.42,2013-10-10,New Sale,Apartment,99 yrs from 07/11/2012,Uncompleted,1,Private,573894,4,21
THE SEAFRONT ON MEYER,0,1603.84,2010-04-09,Sub Sale,Condominium,Freehold,Uncompleted,1,Private,437880,19,24
RIVERBAY,0,387.5,2018-06-18,Resale,Apartment,999 yrs from 02/06/1882,2014,1,HDB,328704,13,25
PARC OASIS,0,1506.96,2010-07-30,Resale,Condominium,99 yrs from 01/12/1991,1994,1,HDB,609777,6,20
COMMONWEALTH TOWERS,0,1302.44,2017-09-20,New Sale,Condominium,99 yrs from 07/05/2013,Uncompleted,1,HDB,149740,35,43
ORION,0,1506.96,2009-10-22,Sub Sale,Apartment,Freehold,2008,1,Private,258333,21,26
ASTRID MEADOWS,0,2045.16,2006-03-06,Resale,Condominium,Freehold,1990,1,Private,269257,2,9
AMANINDA,0,1248.62,2004-02-27,New Sale,Condominium,Freehold,2005,1,Private,307687,3,6
BRADDELL VIEW,0,1614.6,2012-04-06,Resale,Apartment,99 yrs from 01/04/1978,1978,1,HDB,579721,12,25
TANGLIN VIEW,0,1248.62,2000-11-01,New Sale,Condominium,99 yrs from 17/05/1997,2001,1,N.A,159015,9,20
ARDMORE II,0,2023.63,2008-11-05,Sub Sale,Condominium,Freehold,Uncompleted,1,Private,259947,28,36
DOVER PARKVIEW,0,1614.6,2021-02-10,Resale,Condominium,99 yrs from 01/12/1993,1997,1,HDB,138685,1,16
BANYAN CONDOMINIUM,0,1248.62,2010-04-09,Resale,Condominium,Freehold,1995,1,Private,119744,2,4
VILLA DE WEST,0,1754.53,2007-01-18,Resale,Condominium,Freehold,1995,1,Private,118719,1,10
STELLAR RV,0,538.2,2012-08-30,New Sale,Apartment,Freehold,Uncompleted,1,HDB,248306,3,7
THE GARDENS AT BISHAN,0,2411.14,2012-05-18,Resale,Condominium,99 yrs from 22/03/1997,2004,1,Private,575574,19,20
FABER CREST,0,1819.12,2007-11-23,Resale,Condominium,99 yrs from 12/06/1996,2001,1,HDB,129203,1,4
GRANDLINK SQUARE,0,1168.97,1999-05-01,New Sale,Apartment,Freehold,2000,1,Private,399849,6,8
THE WHARF RESIDENCE,0,1076.4,2009-06-05,New Sale,Condominium,999 yrs from 01/07/1841,Uncompleted,1,HDB,238026,7,23
DUCHESS CREST,0,1496.2,1996-07-09,New Sale,Condominium,99 yrs from 24/06/1995,1998,1,Private,269200,1,4
THE PIER AT ROBERTSON,0,742.72,2009-11-02,Resale,Apartment,Freehold,2006,1,Private,239013,7,10
SKY VUE,0,678.13,2015-11-13,New Sale,Condominium,99 yrs from 04/03/2013,Uncompleted,1,HDB,573910,28,37
CITY SQUARE RESIDENCES,0,871.88,2013-02-19,Resale,Condominium,Freehold,2008,1,Private,207225,12,30
THE TRE VER,0,1377.79,2019-08-04,New Sale,Condominium,99 yrs from 27/03/2018,Uncompleted,1,Private,358392,16,20
THE CALLISTA,0,839.59,2002-10-12,New Sale,Apartment,999 yrs from 02/06/1882,2005,1,Private,328702,1,10
D'LEEDON,0,1614.6,2013-02-18,New Sale,Condominium,99 yrs from 08/04/2010,Uncompleted,1,Private,267951,8,35
THOMSON VIEW CONDOMINIUM,0,1313.21,2010-05-03,Resale,Condominium,99 yrs from 07/04/1975,1987,1,HDB,579599,16,26
MALVERN SPRINGS,0,1001.05,2002-02-18,New Sale,Condominium,Freehold,2004,1,HDB,424775,4,5
SENNETT RESIDENCE,0,818.06,2016-01-23,New Sale,Condominium,99 yrs from 28/11/2011,Uncompleted,1,Private,348230,3,18
HILLCREST ARCADIA,0,2744.82,2005-11-20,Resale,Condominium,99 yrs from 01/12/1975,1980,1,Private,289854,1,14
AMBER RESIDENCES,0,1162.51,2010-12-28,Sub Sale,Condominium,Freehold,Uncompleted,1,Private,439888,12,19
BLOSSOMS @ WOODLEIGH,0,1194.8,2006-11-17,New Sale,Condominium,Freehold,Uncompleted,1,HDB,357907,13,15
SEASIDE RESIDENCES,0,828.83,2017-04-22,New Sale,Apartment,99 yrs from 18/04/2016,Uncompleted,1,Private,448869,22,27
JADESCAPE,0,1011.82,2018-09-22,New Sale,Condominium,99 yrs from 19/06/2018,Uncompleted,1,HDB,575744,7,23
CITY SQUARE RESIDENCES,0,570.49,2010-02-12,Resale,Condominium,Freehold,2009,1,HDB,207227,16,30
THE SOUND,0,807.3,2011-08-03,New Sale,Condominium,Freehold,Uncompleted,1,Private,429072,2,5
THE CASSANDRA,0,1313.21,2005-10-26,New Sale,Apartment,Freehold,2005,1,Private,118549,3,5
SKY GREEN,0,796.54,2012-11-15,New Sale,Condominium,Freehold,Uncompleted,1,HDB,368237,5,15
RV RESIDENCES,0,678.13,2015-04-27,New Sale,Condominium,999 yrs from 21/06/1877,2015,1,Private,248350,6,7
THE GRANDHILL,0,1302.44,2004-05-12,New Sale,Condominium,Freehold,Uncompleted,1,Private,118860,2,5
THE SIXTH AVENUE RESIDENCES,0,1765.3,2010-07-21,Sub Sale,Condominium,Freehold,2009,1,Private,276544,1,5
KERRISDALE,0,1270.15,2006-05-03,New Sale,Condominium,99 yrs from 02/04/1998,2005,1,Private,207853,5,30
SKY HABITAT,0,1216.33,2012-05-03,New Sale,Condominium,99 yrs from 30/05/2011,Uncompleted,1,HDB,573908,28,37
ECHELON,0,1313.21,2013-07-08,New Sale,Condominium,99 yrs from 06/03/2012,Uncompleted,1,Private,158742,6,41
LEEDON RESIDENCE,0,2131.27,2015-06-25,New Sale,Condominium,Freehold,2015,1,Private,267936,6,12
BLUE HORIZON,0,968.76,2004-07-22,New Sale,Condominium,99 yrs from 14/08/2000,2005,1,HDB,128048,2,24
SIMS GREEN,0,2055.92,2002-03-06,New Sale,Apartment,99 yrs from 06/02/2001,2003,1,Private,388134,8,8
ONE-NORTH RESIDENCES,0,592.02,2007-04-03,New Sale,Apartment,99 yrs from 15/09/2005,Uncompleted,1,HDB,138642,7,15
CLAVON,0,764.24,2020-12-12,New Sale,Apartment,99 yrs from 07/10/2019,Uncompleted,1,N.A,129963,4,37
LAKE GRANDE,0,721.19,2016-07-23,New Sale,Condominium,99 yrs from 09/06/2015,Uncompleted,1,HDB,648131,9,17
THE CENTRIS,0,1506.96,2006-10-27,New Sale,Apartment,99 yrs from 21/06/2006,Uncompleted,1,HDB,648343,9,16
TANGLIN VIEW,0,1248.62,2017-12-04,Resale,Condominium,99 yrs from 17/05/1997,2001,1,Private,159015,12,20
CARIBBEAN AT KEPPEL BAY,0,1205.57,2007-04-12,Resale,Condominium,99 yrs from 16/08/1999,2004,1,Private,98651,5,10
OLEANDER TOWERS,0,1550.02,2020-01-23,Resale,Apartment,99 yrs from 01/03/1995,1997,1,HDB,319771,1,25
DUO RESIDENCES,0,1722.24,2013-12-09,New Sale,Apartment,99 yrs from 01/07/2011,Uncompleted,1,Private,189350,47,49
PARC RIVIERA,0,990.29,2017-04-22,New Sale,Condominium,99 yrs from 11/11/2015,Uncompleted,1,HDB,126753,25,36
CLAVON,0,678.13,2020-12-12,New Sale,Apartment,99 yrs from 07/10/2019,Uncompleted,1,Private,129964,19,37
LEICESTER LODGE,0,1420.85,2009-06-10,Resale,Apartment,Freehold,2003,1,Private,358843,9,9
THE PEAK@BALMEG,0,1506.96,2009-07-28,New Sale,Condominium,Freehold,Uncompleted,1,HDB,119916,2,5
JADESCAPE,0,775.01,2018-09-22,New Sale,Condominium,99 yrs from 19/06/2018,Uncompleted,1,HDB,575742,12,23
THE GRANGE,0,2292.73,2010-12-29,Resale,Condominium,Freehold,2008,1,Private,249631,17,23
THE SEAFRONT ON MEYER,0,1603.84,2007-04-23,New Sale,Condominium,Freehold,Uncompleted,1,HDB,437878,10,24
CITY GATE,0,914.94,2014-12-05,New Sale,Apartment,99 yrs from 15/04/2014,Uncompleted,1,Private,199597,26,30
THE OCEANFRONT @ SENTOSA COVE,0,2077.45,2006-08-15,New Sale,Condominium,99 yrs from 10/08/2005,Uncompleted,1,Private,98530,8,15
THE GARDENS AT BISHAN,0,882.65,2012-05-24,Resale,Condominium,99 yrs from 22/03/1997,2004,1,HDB,575574,2,20
COTE D'AZUR,0,1140.98,2002-09-12,New Sale,Condominium,99 yrs from 25/07/2001,2004,1,HDB,449300,3,22
2 RVG,0,688.9,2005-10-31,New Sale,Apartment,Freehold,Uncompleted,1,Private,238405,6,21
BISHAN POINT,0,1184.04,2002-07-29,New Sale,Condominium,99 yrs from 06/12/1997,2005,1,HDB,579653,15,32
VILLAGE @ PASIR PANJANG,0,839.59,2013-01-07,New Sale,Condominium,Freehold,Uncompleted,1,Private,118797,2,5
NIN RESIDENCE,0,925.7,2011-05-16,New Sale,Apartment,99 yrs from 13/09/2010,Uncompleted,1,HDB,348271,8,19
THE PARC CONDOMINIUM,0,1926.76,2007-09-10,New Sale,Condominium,Freehold,Uncompleted,1,HDB,127140,1,24
18 WOODSVILLE,0,818.06,2012-04-16,New Sale,Apartment,Freehold,Uncompleted,1,Private,357799,11,14
283 STUDIO,0,527.44,2011-07-29,New Sale,Apartment,999 yrs from 01/07/1841,Uncompleted,1,HDB,238324,4,6
PRINCIPAL GARDEN,0,785.77,2017-04-30,New Sale,Condominium,99 yrs from 21/07/2014,Uncompleted,1,HDB,159028,23,24
THE RIVERINE BY THE PARK,0,1776.06,2007-06-14,New Sale,Apartment,Freehold,Uncompleted,1,Private,339098,12,29
QUEENS,0,1194.8,2011-04-29,Resale,Condominium,99 yrs from 16/02/1998,2002,1,Private,148954,11,38
THE ARC AT DRAYCOTT,0,1270.15,2019-04-01,Resale,Apartment,Freehold,2008,1,Private,259420,15,35
THE STELLAR,0,1883.7,2021-01-28,Resale,Condominium,Freehold,2008,1,Private,126821,1,5
LAKEVILLE,0,1119.46,2016-06-28,New Sale,Condominium,99 yrs from 30/04/2013,Uncompleted,1,HDB,648162,6,16
CITYLIGHTS,0,871.88,2005-08-29,New Sale,Condominium,99 yrs from 05/01/2004,Uncompleted,1,HDB,208747,9,41
THE METZ,0,570.49,2008-01-22,Resale,Condominium,Freehold,2007,1,HDB,239864,23,27
THE FORD @ HOLLAND,0,613.55,2011-04-06,Resale,Condominium,Freehold,2009,1,Private,268685,1,5
EMERALD PARK,0,925.7,1998-06-04,Resale,Condominium,99 yrs from 01/09/1991,1993,1,HDB,169588,11,14
BRADDELL VIEW,0,1614.6,1997-10-07,Resale,Apartment,99 yrs from 01/04/1978,1978,1,Private,579721,21,25
QUEENS PEAK,0,430.56,2016-11-05,New Sale,Condominium,99 yrs from 28/09/2015,Uncompleted,1,N.A,149457,9,44
CARIBBEAN AT KEPPEL BAY,0,1205.57,2017-04-10,Resale,Condominium,99 yrs from 16/08/1999,2004,1,Private,98650,6,10
TRIBECA,0,570.49,2007-01-25,New Sale,Condominium,Freehold,Uncompleted,1,HDB,239497,21,30
STARVILLE,0,1216.33,2004-08-25,New Sale,Condominium,Freehold,Uncompleted,1,HDB,417454,6,12
OUE TWIN PEAKS,0,1399.32,2017-05-04,Resale,Condominium,99 yrs from 10/05/2010,2015,1,Private,239197,23,35
JADESCAPE,0,1011.82,2019-11-08,New Sale,Condominium,99 yrs from 19/06/2018,Uncompleted,1,N.A,575743,5,23
TRELLIS TOWERS,0,1646.89,2005-12-27,Resale,Condominium,Freehold,2000,1,Private,319773,17,30
ALESSANDREA,0,1097.93,2003-06-13,New Sale,Apartment,Freehold,2003,1,Private,159967,4,19
THE INTERWEAVE,0,409.03,2020-12-16,Resale,Apartment,Freehold,2014,1,Private,328805,14,21
THE FERNHILL,0,1560.78,2007-01-09,New Sale,Apartment,Freehold,Uncompleted,1,Private,259049,2,5
D'LEEDON,0,1356.26,2013-01-07,New Sale,Condominium,99 yrs from 08/04/2010,Uncompleted,1,HDB,267953,10,35
COSTA RHU,0,1345.5,1999-04-02,Sub Sale,Condominium,99 yrs from 30/05/1994,1997,1,HDB,437436,6,17
DAKOTA RESIDENCES,0,1291.68,2013-04-05,Resale,Condominium,99 yrs from 11/09/2007,2010,1,Private,399939,18,19
KEMAMAN VIEW,0,1323.97,2000-02-11,Resale,Apartment,Freehold,1994,1,Private,329341,10,17
STARVILLE,0,1237.86,2005-06-08,New Sale,Condominium,Freehold,Uncompleted,1,Private,417456,4,12
THE ARTE,0,2647.94,2009-04-28,New Sale,Condominium,Freehold,Uncompleted,1,Private,329215,32,34
TREVISTA,0,1140.98,2012-04-02,Sub Sale,Condominium,99 yrs from 15/07/2008,2011,1,Private,319581,12,39
THE ARTE,0,1872.94,2009-07-16,New Sale,Condominium,Freehold,Uncompleted,1,Private,329216,27,34
LEONIE GARDENS,0,2540.3,2003-02-21,Resale,Condominium,99 yrs from 15/09/1990,1993,1,Private,239224,14,27
CITY GATE,0,559.73,2014-08-08,New Sale,Apartment,99 yrs from 15/04/2014,Uncompleted,1,Private,199597,13,30
THE EQUATORIAL,0,3455.24,2007-06-11,Resale,Condominium,Freehold,2001,1,Private,257872,15,15
HAIG COURT,0,1442.38,2004-06-10,New Sale,Condominium,Freehold,2004,1,Private,438793,6,17
SUITES @ TOPAZ,0,495.14,2010-08-31,New Sale,Apartment,Freehold,Uncompleted,1,HDB,327849,3,5
PARC EMILY,0,1733.0,2005-04-04,New Sale,Condominium,Freehold,Uncompleted,1,Private,228492,6,8
GEM RESIDENCES,0,775.01,2016-05-27,New Sale,Condominium,99 yrs from 21/09/2015,Uncompleted,1,HDB,319459,28,38
CLOVER BY THE PARK,0,1291.68,2009-06-12,New Sale,Condominium,99 yrs from 10/09/2007,Uncompleted,1,HDB,573973,8,39
AALTO,0,1528.49,2007-08-28,New Sale,Condominium,Freehold,Uncompleted,1,Private,437980,21,27
THE LOFT,0,1528.49,2019-04-29,Resale,Condominium,99 yrs from 24/04/1999,2002,1,Private,258468,4,4
GAIA,0,1022.58,2012-07-04,New Sale,Apartment,Freehold,Uncompleted,1,Private,329371,2,16
THE SEA VIEW,0,1646.89,2005-10-21,New Sale,Condominium,Freehold,Uncompleted,1,HDB,439945,4,22
ASPEN LINQ,0,409.03,2012-03-26,New Sale,Apartment,999 yrs from 01/07/1841,Uncompleted,1,HDB,239669,10,10
N.A.,0,4833.04,1999-10-26,Resale,Condominium,Freehold,1989,1,Private,257845,2,23
ASCENTIA SKY,0,1797.59,2010-05-31,New Sale,Condominium,99 yrs from 26/03/2008,Uncompleted,1,HDB,158748,26,45
D'LEEDON,0,742.72,2011-03-16,New Sale,Condominium,99 yrs from 08/04/2010,Uncompleted,1,HDB,267955,10,35
TREVISTA,0,1119.46,2019-06-21,Resale,Condominium,99 yrs from 15/07/2008,2011,1,HDB,319582,32,39
TANGLIN VIEW,0,1140.98,2018-04-27,Resale,Condominium,99 yrs from 17/05/1997,2001,1,Private,159013,13,20
THOMSON 800,0,1625.36,2004-03-29,Resale,Condominium,Freehold,1999,1,Private,298187,10,20
THE PARC CONDOMINIUM,0,1969.81,2021-01-06,Resale,Condominium,Freehold,2010,1,Private,127160,1,24
KENT RIDGE HILL RESIDENCES,0,473.62,2019-09-30,New Sale,Apartment,99 yrs from 10/11/2018,Uncompleted,1,HDB,118175,3,5
CITY SQUARE RESIDENCES,0,570.49,2010-02-10,Resale,Condominium,Freehold,2008,1,HDB,207223,15,30
THE MAKENA,0,1474.67,1995-10-13,New Sale,Condominium,Freehold,1998,1,Private,437932,1,28
THE SEA VIEW,0,1646.89,2007-11-05,Sub Sale,Condominium,Freehold,Uncompleted,1,Private,439945,5,22
THE MAYFAIR,0,1227.1,1998-11-10,New Sale,Condominium,99 yrs from 04/12/1996,2000,1,HDB,609478,5,20
THE SEAFRONT ON MEYER,0,2098.98,2007-05-04,New Sale,Condominium,Freehold,Uncompleted,1,Private,437878,7,24
MARYMOUNT VIEW,0,871.88,1999-02-03,Resale,Condominium,Freehold,1992,1,HDB,576148,4,17
RIVER PLACE,0,871.88,2008-08-11,Resale,Condominium,99 yrs from 07/11/1995,2000,1,Private,169658,9,10
TREVISTA,0,1270.15,2012-07-04,Sub Sale,Condominium,99 yrs from 15/07/2008,2011,1,Private,319582,8,39
THE VERTE,0,2755.58,2009-08-06,New Sale,Apartment,Freehold,Uncompleted,1,Private,426146,1,5
AURA 83,0,785.77,2013-01-31,New Sale,Apartment,Freehold,Uncompleted,1,Private,429247,4,5
HOLT RESIDENCES,0,2066.69,2006-09-15,Resale,Apartment,Freehold,2000,1,Private,249444,6,13
# 1 LOFT,0,581.26,2021-01-05,Resale,Apartment,Freehold,2016,1,Private,398614,6,8
TWIN REGENCY,0,1442.38,2006-10-10,Sub Sale,Condominium,Freehold,Uncompleted,1,Private,169278,23,36
NATHAN SUITES,0,914.94,2015-03-27,Resale,Condominium,Freehold,2014,1,Private,248743,9,23
JADESCAPE,0,527.44,2019-04-11,New Sale,Condominium,99 yrs from 19/06/2018,Uncompleted,1,HDB,575747,6,23
CLEMENTIWOODS CONDOMINIUM,0,3196.91,2007-02-08,New Sale,Condominium,99 yrs from 07/02/2006,Uncompleted,1,Private,126819,5,5
VACANZA @ EAST,0,1033.34,2012-04-04,New Sale,Condominium,Freehold,Uncompleted,1,HDB,417392,4,12
REZI 24,0,958.0,2020-10-25,New Sale,Apartment,Freehold,Uncompleted,1,N.A,398636,4,8
BUCKLEY 18,0,2529.54,2007-02-28,New Sale,Apartment,Freehold,Uncompleted,1,Private,309776,5,5
PRESTIGE HEIGHTS,0,409.03,2011-01-06,New Sale,Apartment,Freehold,Uncompleted,1,HDB,329778,11,18
ARTRA,0,828.83,2017-05-19,New Sale,Apartment,99 yrs from 15/02/2016,Uncompleted,1,HDB,158745,22,43
PATERSON LINC,0,818.06,2009-12-14,Sub Sale,Apartment,Freehold,Uncompleted,1,Private,238509,8,10
THE LANDMARK,0,1140.98,2020-12-16,New Sale,Condominium,99 yrs from 28/08/2020,Uncompleted,1,Private,169878,5,28
THOMSON 800,0,1399.32,1999-04-28,New Sale,Condominium,Freehold,1999,1,Private,298187,9,20
THE GRANGE,0,2281.97,2005-09-27,New Sale,Condominium,Freehold,2008,1,Private,249631,11,23
STURDEE RESIDENCES,0,828.83,2016-07-03,New Sale,Condominium,99 yrs from 29/06/2015,Uncompleted,1,HDB,209955,14,30
HOLLANDIA,0,1969.81,1997-07-21,Resale,Condominium,Freehold,1985,1,Private,278537,5,6
PRISTINE HEIGHTS,0,1076.4,2007-07-23,New Sale,Apartment,Freehold,Uncompleted,1,HDB,219053,6,19
THE PARC CONDOMINIUM,0,1420.85,2007-08-31,New Sale,Condominium,Freehold,Uncompleted,1,Private,127159,12,24
HUNDRED TREES,0,1162.51,2009-10-14,New Sale,Condominium,956 yrs from 27/05/1928,Uncompleted,1,HDB,128018,5,12
THE PLAZA,0,731.95,2003-11-13,Resale,Apartment,99 yrs from 03/09/1968,1979,1,Private,199591,27,31
SEAHILL,0,861.12,2016-09-19,Sub Sale,Condominium,99 yrs from 26/09/2011,2016,1,HDB,126777,10,28
LEONIE GARDENS,0,2540.3,2007-05-24,Resale,Condominium,99 yrs from 15/09/1990,1993,1,Private,239224,12,27
THE TRIZON,0,1345.5,2009-09-25,New Sale,Condominium,Freehold,Uncompleted,1,HDB,276693,3,23
THE VERMONT ON CAIRNHILL,0,1431.61,2012-05-24,New Sale,Apartment,Freehold,Uncompleted,1,Private,229746,15,19
THE SHELFORD,0,1453.14,2002-06-20,New Sale,Condominium,Freehold,2005,1,Private,286889,3,5
THE MAYLEA,0,527.44,2012-04-01,Resale,Condominium,Freehold,2008,1,HDB,117494,5,5
THE TRIZON,0,2185.09,2014-01-06,Resale,Condominium,Freehold,2012,1,Private,276693,3,23
KENTISH LODGE,0,1033.34,1996-04-03,New Sale,Apartment,99 yrs from 01/03/1995,1998,1,HDB,218814,4,7
WHITESCAPE,0,516.67,2009-12-14,New Sale,Apartment,Freehold,Uncompleted,1,HDB,425239,2,5
SEVEN HOLT ROAD,0,2249.68,2002-02-08,New Sale,Apartment,Freehold,2000,1,Private,249445,7,12
THE ARTE,0,1872.94,2009-07-08,New Sale,Condominium,Freehold,Uncompleted,1,Private,329216,22,34
DUCHESS MANOR,0,1550.02,2009-12-03,Resale,Condominium,999 yrs from 27/12/1875,2005,1,HDB,269031,4,5
CITY SQUARE RESIDENCES,0,1216.33,2011-06-29,Resale,Condominium,Freehold,2009,1,Private,207229,21,30
THE RISE @ OXLEY - RESIDENCES,0,645.84,2016-03-18,New Sale,Apartment,Freehold,Uncompleted,1,HDB,238699,8,10
